,Service Area,School Name,Enrollment,Change,Year
89,High Schools,Franklin,1196.0,2.0,2020
90,High Schools,Garfield,1633.0,1.0,2020
91,High Schools,Ingraham,1427.0,-6.0,2020
92,High Schools,Lincoln,979.0,389.0,2020
93,High Schools,Nathan Hale,1100.0,5.0,2020
94,High Schools,Rainier Beach,787.0,70.0,2020
95,High Schools,Roosevelt,1633.0,-108.0,2020
96,High Schools,West Seattle,1088.0,38.0,2020
97,Option Schools with Continuous Enrollment,Bridges Transition Program,155.0,25.0,2020
98,Option Schools with Continuous Enrollment,Cascade Parent Partnership Program,190.0,11.0,2020
99,Option Schools with Continuous Enrollment,In Tandem,17.0,1.0,2020
100,Option Schools with Continuous Enrollment,InterAgency,330.0,-54.0,2020
101,Option Schools with Continuous Enrollment,Middle College,85.0,13.0,2020
102,Option Schools with Continuous Enrollment,Non Public Agencies,49.0,14.0,2020
103,Option Schools with Continuous Enrollment,Nova,227.0,15.0,2020
104,Option Schools with Continuous Enrollment,Seattle World School,284.0,-61.0,2020
105,Option Schools with Continuous Enrollment,SpEd Consortium,37.0,-23.0,2020
106,Option Schools with Continuous Enrollment,Sugiyama High School,38.0,-13.0,2020
107,All,TOTAL,52381.0,-1246.0,2020
