,Service Area,School Name,Enrollment,Change,Year
20,Eckstein,View Ridge,591.0,3.0,2015
21,Eckstein,Wedgwood,482.0,13.0,2015
22,Hamilton,B. F. Day,285.0,-39.0,2015
23,Hamilton,Cascadia,753.0,67.0,2015
24,Hamilton,J. Stanford Intl,457.0,-12.0,2015
25,Hamilton,Licton Springs K-8,138.0,22.0,2015
26,Hamilton,McDonald Intl,453.0,45.0,2015
27,Hamilton,West Woodland,532.0,12.0,2015
28,Jane Addams,John Rogers,390.0,38.0,2015
29,Jane Addams,Olympic Hills,294.0,-6.0,2015
30,Jane Addams,Sacajawea,232.0,-10.0,2015
31,Madison,Alki,413.0,3.0,2015
32,Madison,Fairmount Park,474.0,110.0,2015
33,Madison,Gatewood,430.0,25.0,2015
34,Madison,Lafayette,480.0,-25.0,2015
35,Madison,Pathfinder,506.0,1.0,2015
36,Madison,Sanislo,273.0,-7.0,2015
37,Madison,Schmitz Park,643.0,37.0,2015
38,McClure,Catharine Blaine,736.0,63.0,2015
39,McClure,Coe,545.0,45.0,2015
40,McClure,John Hay,500.0,-18.0,2015
41,McClure,Lawton,426.0,7.0,2015
42,McClure,Queen Anne,428.0,30.0,2015
43,Mercer,Beacon Hill Intl,459.0,-20.0,2015
44,Mercer,Dearborn Park,373.0,3.0,2015
45,Mercer,Hawthorne,391.0,29.0,2015
46,Mercer,Kimball,429.0,-7.0,2015
47,Mercer,Maple,480.0,11.0,2015
48,Mercer,Orca,415.0,-60.0,2015
49,Mercer,Van Asselt,511.0,-13.0,2015
50,Washington,Bailey Gatzert,295.0,-42.0,2015
51,Washington,John Muir,396.0,-43.0,2015
52,Washington,Leschi,368.0,-14.0,2015
53,Washington,Lowell,314.0,48.0,2015
54,Washington,Madrona,289.0,-1.0,2015
55,Washington,McGilvra,275.0,-11.0,2015
56,Washington,Montlake,264.0,13.0,2015
57,Washington,Stevens,337.0,-28.0,2015
58,Washington,T. Marshall,528.0,28.0,2015
59,Washington,TOPS,484.0,-9.0,2015
