,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
7,University District,401,751.9638778,2000,density_kids,0.7433867722947689
8,Crown Hill,103,270.9887543,2000,density_kids,2.376482380840997
9,Westwood-Highland Park,127,275.0621961,2000,density_kids,3.966375661464444
10,Lake City,201,142.2670425,2000,density_kids,2.7694397316230144
11,Greater Duwamish,502,4953.281793,2000,density_kids,0.0430017933364931
12,Madison-Miller,131,145.3234203,2000,density_kids,2.298321903726897
13,Green Lake,207,107.4446385,2000,density_kids,0.8748691541272207
14,Northgate,301,412.2911233,2000,density_kids,1.6614473639820904
15,North Beacon Hill,110,266.8762908,2000,density_kids,3.717078040264789
16,Ballard-Interbay-Northend,501,931.9728637,2000,density_kids,0.0708175125807582
17,Greenwood-Phinney Ridge,102,94.15764497,2000,density_kids,3.770272717771437
18,Downtown,413,953.2817465,2000,density_kids,0.7920008987605218
19,Uptown,412,333.000698,2000,density_kids,0.4414405161396989
20,Rainier Beach,204,346.1438736,2000,density_kids,3.4465437379909183
21,23rd & Union-Jackson,109,625.2664128,2000,density_kids,3.363366329853821
22,Bitter Lake Village,114,363.7795662,2000,density_kids,1.0885713129425356
23,Mt Baker,305,491.0180584,2000,density_kids,2.0691703342045558
24,Admiral,113,98.24835065,2000,density_kids,1.6183477783400326
25,Aurora-Licton Springs,101,326.9585992,2000,density_kids,2.251049526762225
26,Morgan Junction,206,113.3093773,2000,density_kids,2.1445709595299314
27,Eastlake,107,199.2559558,2000,density_kids,0.5821657853802531
28,Wallingford,203,258.0056129,2000,density_kids,1.848796987935606
29,Ballard,303,495.4763052,2000,density_kids,1.80028790607846
30,South Park,128,263.7986201,2000,density_kids,3.241108689938898
31,Othello,123,498.9632413,2000,density_kids,4.18467700057407
0,Upper Queen Anne,106,52.65872029,2010,density_kids,2.5826681554550937
1,Fremont,302,214.511083,2010,density_kids,1.0022792155685494
2,West Seattle Junction,205,270.4170255,2010,density_kids,1.6197205009194215
3,Columbia City,111,334.5433404,2010,density_kids,2.893496546195185
4,First Hill/Capitol Hill,414,916.2218015,2010,density_kids,1.9493096508684202
5,Roosevelt,202,170.2117761,2010,density_kids,1.9563863771937926
6,South Lake Union,312,339.886927,2010,density_kids,0.4648604799089551
7,University District,401,751.9638778,2010,density_kids,0.6010927031793122
8,Crown Hill,103,270.9887543,2010,density_kids,2.7565719541742624
9,Westwood-Highland Park,127,275.0621961,2010,density_kids,3.973646744253563
10,Lake City,201,142.2670425,2010,density_kids,3.5637206698803765
11,Greater Duwamish,502,4953.281793,2010,density_kids,0.027254657748481542
12,Madison-Miller,131,145.3234203,2010,density_kids,3.0965414870571966
13,Green Lake,207,107.4446385,2010,density_kids,1.5170603417312443
14,Northgate,301,412.2911233,2010,density_kids,2.0034387191959224
15,North Beacon Hill,110,266.8762908,2010,density_kids,3.008884744286921
16,Ballard-Interbay-Northend,501,931.9728637,2010,density_kids,0.07189050519561818
17,Greenwood-Phinney Ridge,102,94.15764497,2010,density_kids,3.9720619618211757
18,Downtown,413,953.2817465,2010,density_kids,0.7689227268761093
19,Uptown,412,333.000698,2010,density_kids,0.6666652692721984
20,Rainier Beach,204,346.1438736,2010,density_kids,3.1403126933747934
21,23rd & Union-Jackson,109,625.2664128,2010,density_kids,2.899564030444592
22,Bitter Lake Village,114,363.7795662,2010,density_kids,1.64110372178458
23,Mt Baker,305,491.0180584,2010,density_kids,2.130267883442879
24,Admiral,113,98.24835065,2010,density_kids,2.0153010069894743
25,Aurora-Licton Springs,101,326.9585992,2010,density_kids,2.4437344726671437
26,Morgan Junction,206,113.3093773,2010,density_kids,2.3652058319095537
27,Eastlake,107,199.2559558,2010,density_kids,1.01377145385182
28,Wallingford,203,258.0056129,2010,density_kids,2.716995154177903
29,Ballard,303,495.4763052,2010,density_kids,1.9456026249547482
30,South Park,128,263.7986201,2010,density_kids,3.241108689938898
31,Othello,123,498.9632413,2010,density_kids,5.529465442808362
0,Upper Queen Anne,106,52.65872029,2020,density_kids,3.8170316121064247
1,Fremont,302,214.511083,2020,density_kids,1.5803379259429686
2,West Seattle Junction,205,270.4170255,2020,density_kids,2.5035405916037634
3,Columbia City,111,334.5433404,2020,density_kids,4.417962701731904
4,First Hill/Capitol Hill,414,916.2218015,2020,density_kids,2.0671850384909227
5,Roosevelt,202,170.2117761,2020,density_kids,2.7318908870724132
6,South Lake Union,312,339.886927,2020,density_kids,1.6152430599368124
7,University District,401,751.9638778,2020,density_kids,1.2447406419819387
8,Crown Hill,103,270.9887543,2020,density_kids,3.420806159999386
9,Westwood-Highland Park,127,275.0621961,2020,density_kids,3.4428577006478718
10,Lake City,201,142.2670425,2020,density_kids,4.372059677841409
11,Greater Duwamish,502,4953.281793,2020,density_kids,0.04946215665465169
12,Madison-Miller,131,145.3234203,2020,density_kids,3.316739992803486
13,Green Lake,207,107.4446385,2020,density_kids,2.466386445145888
14,Northgate,301,412.2911233,2020,density_kids,2.090755660952645
15,North Beacon Hill,110,266.8762908,2020,density_kids,3.2112256859948833
16,Ballard-Interbay-Northend,501,931.9728637,2020,density_kids,0.21996348604629443
17,Greenwood-Phinney Ridge,102,94.15764497,2020,density_kids,4.3543994768627865
18,Downtown,413,953.2817465,2020,density_kids,1.6857555553750445
19,Uptown,412,333.000698,2020,density_kids,1.7897860382262623
20,Rainier Beach,204,346.1438736,2020,density_kids,3.697884312345663
21,23rd & Union-Jackson,109,625.2664128,2020,density_kids,3.0419033568150105
22,Bitter Lake Village,114,363.7795662,2020,density_kids,2.5537443174838774
23,Mt Baker,305,491.0180584,2020,density_kids,2.1832190927827595
24,Admiral,113,98.24835065,2020,density_kids,2.188331901528975
25,Aurora-Licton Springs,101,326.9585992,2020,density_kids,2.5324307176075034
26,Morgan Junction,206,113.3093773,2020,density_kids,2.5946660991843613
27,Eastlake,107,199.2559558,2020,density_kids,1.7063479916317763
28,Wallingford,203,258.0056129,2020,density_kids,3.25186723873789
29,Ballard,303,495.4763052,2020,density_kids,2.7105231590396546
30,South Park,128,263.7986201,2020,density_kids,2.5966777223487076
31,Othello,123,498.9632413,2020,density_kids,5.645706470602086
